更新时间,#genre#
20260814 02:28,url

RespoTime,whitelist,#genre#
65.03ms,SONY MOVIES,https://t.freetv.fun/live/sony-movies-latin-america.m3u8
65.10ms,News12+ Hudson Valley (1080p) [Geo-blocked],https://mdc.ott.alticeusa.net/live4.ott.optimum.net/live4-uploads/N12PLUS_H_WC_A1/index_new.m3u8
65.12ms,A&E (720p),http://23.239.31.26:8989/aande/index.m3u8
65.13ms,翡翠台,http://r.jdshipin.com/62WM7
65.15ms,海南衛視,https://t.freetv.fun/live/hai-nan-wei-shi-16.m3u8
65.16ms,山東衛視,https://t.freetv.fun/live/shan-dong-wei-shi-1.m3u8
65.16ms,河北衛視,https://t.freetv.fun/live/he-bei-wei-shi-13.m3u8
65.24ms,湛江新聞綜合,https://t.freetv.fun/live/jiang-xia-xin-wen-zong-he-4.m3u8
65.26ms,卓依婷-旧情也绵绵,http://vd3.bdstatic.com/mda-jfje0s0z33b0c9vf/mda-jfje0s0z33b0c9vf.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
65.28ms,Dungeon TV (720p),https://stream-us-east-1.getpublica.com/playlist.m3u8?network_id=2226
65.34ms,四川衛視,https://t.freetv.fun/live/si-chuan-wei-shi-5.m3u8
65.39ms,廣東民生,https://t.freetv.fun/live/yan-dong-min-sheng-gao-qing-11.m3u8
65.41ms,卓依婷-爱情一阵风,http://vd3.bdstatic.com/mda-jf5fre7jvd0q3rfu/mda-jf5fre7jvd0q3rfu.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
65.45ms,Encuentro Ⓨ Ⓖ,https://www.youtube.com/user/encuentro/live
65.48ms,CCTV11,https://t.freetv.fun/live/cctv11-5.m3u8
65.53ms,CCTV9,https://t.freetv.fun/live/cctv9ji-lu-4.m3u8
65.57ms,DD News Ⓨ,https://www.youtube.com/c/ddnews/live
65.57ms,卓依婷-夜来香,http://vd3.bdstatic.com/mda-jfai9k0sxf0nisvq/mda-jfai9k0sxf0nisvq.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
65.64ms,France 24 العربية Ⓨ,https://www.youtube.com/c/FRANCE24Arabic/live
65.71ms,廣東體育HD,https://t.freetv.fun/live/yan-dong-ti-yu-11.m3u8
65.74ms,CCTV16,http://74.91.26.218:82/live/cctv16hd.m3u8
65.76ms,Stingray Naturescape (360p),https://lotus.stingray.com/manifest/naturescape-a003-montreal/samsungtvplus/f7ed86a4-b8ac-38e0-a745-710077a95be6/1020800/manifest.m3u8
65.78ms,水手粤语版,http://vd4.bdstatic.com/mda-maennfh5abgkzfa3/v1-cae/mda-maennfh5abgkzfa3.mp4
65.81ms,粤语女声串二,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8c788c00738e201037001994b71736e_258.mp4
65.85ms,卓依婷-蜗牛与黄鹂鸟,http://vd3.bdstatic.com/mda-jfjnacpfn6r21dec/mda-jfjnacpfn6r21dec.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
65.90ms,CH5,https://cdn6.163189.xyz/163189/ch5
65.91ms,CCTV5,http://69.30.245.50/live/cctv5.m3u8
65.91ms,CH8,https://cdn6.163189.xyz/live/ch8/stream.m3u8
65.93ms,广东珠江,http://r.jdshipin.com/sE5vO
65.98ms,Pluto TV Action,https://jmp2.uk/plu-561d7d484dc7c8770484914a.m3u8
65.99ms,陈淑苹黄昏之恋[848*480],http://vd4.bdstatic.com/mda-jk0m1rgje4eh01cw//mda-jk0m1rgje4eh01cw.mp4
66.01ms,小凤凤爱情一阵风,http://vd2.bdstatic.com/mda-jjm7vgq1iahz0zpg/mda-jjm7vgq1iahz0zpg.mp4
66.02ms,CCTV14,https://t.freetv.fun/live/cctv-14shao-er.m3u8
66.03ms,凤凰中文,https://cdn.163189.xyz/live/fhzw/stream.m3u8
66.03ms,卓依婷-电话情思,http://vd3.bdstatic.com/mda-jfghscj8datutink/mda-jfghscj8datutink.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
66.03ms,Trace Urban,https://t.freetv.fun/live/trace-urban.m3u8
66.04ms,安徽衛視,https://t.freetv.fun/live/an-hui-wei-shi-6.m3u8
66.04ms,ARTE(German),https://t.freetv.fun/live/arte-2.m3u8
66.05ms,Euronews România Ⓨ,https://www.youtube.com/euronewsro/live
66.09ms,河北衛視,https://t.freetv.fun/live/he-bei-wei-shi-6.m3u8
66.12ms,BBC America (720p),http://23.239.31.26:8989/bbcamerica/index.m3u8
66.15ms,纪录|BBC Earth,http://free.cnlive.club/channel/356e7ac6/index.m3u8?q=1752629214236
66.15ms,NRT 3,https://t.freetv.fun/live/rts-3.m3u8
66.22ms,TVBS,https://ed6e-f4b7-af48-6d55.kylintv.tv/live/tvbshd_iphone.m3u8
66.26ms,陈淑苹-离家,http://vd2.bdstatic.com/mda-iftyuk6tjcxrm53p/sc/mda-iftyuk6tjcxrm53p.mp4
66.28ms,经典Dj嗨歌05,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8c64536bc37604f03700199467f7a63_258.mp4
66.29ms,新动漫,https://tv.iill.top/migu/xdm&token=886bce813f2cd4e37742d034db073fb39288ecfa7b0e43b20307dd9a2b2d0bdc
66.31ms,AL HORRYA,https://t.freetv.fun/live/al-horreya-tv-1.m3u8
66.36ms,卓依婷-流星雨,http://vd3.bdstatic.com/mda-jfap39wqmi2yisu6/mda-jfap39wqmi2yisu6.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
66.36ms,CCTV9,https://t.freetv.fun/live/cctv9-13.m3u8
66.37ms,江西衛視,https://t.freetv.fun/live/jiang-xi-wei-shi.m3u8
66.39ms,RTHK 32,http://67.220.71.199:2347/livehttpplay?channel_id=30028
66.40ms,CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
66.41ms,India Today Ⓨ,https://www.youtube.com/watch?v=sYZtOFzM78M
66.41ms,TMC (FR),https://t.freetv.fun/live/tmc.m3u8
66.41ms,Acapulco Shore,https://jmp2.uk/plu-64dab1f835425100080e1e7b.m3u8
66.43ms,江蘇衛視,https://t.freetv.fun/live/jiang-su-wei-shi-16.m3u8
66.51ms,卓依婷-美酒加咖啡,http://vd3.bdstatic.com/mda-jfrred8ck6pnh6bq/mda-jfrred8ck6pnh6bq.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
66.54ms,海南衛視,https://t.freetv.fun/live/hai-nan-wei-shi-5.m3u8
66.55ms,House of Docs – Pluto TV,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/6536608b4f123d000876b78b/master.m3u8?deviceId=channel&deviceModel=web&deviceVersion=1.0&appVersion=1.0&deviceType=rokuChannel&deviceMake=rokuChannel&deviceDNT=1&advertisingId=channel&embedPartner=rokuChannel&appName=rokuchannel&is_lat=1&bmodel=bm1&content=channel&platform=web&tags=ROKU_CONTENT_TAGS&coppa=false&content_type=livefeed&rdid=channel&genre=ROKU_ADS_CONTENT_GENRE&content_rating=ROKU_ADS_CONTENT_RATING&studio_id=viacom&channel_id=channel
66.55ms,「斗鱼」FIFA,http://live.iill.top/douyu.php?id=7692166
66.59ms,NOW星影,http://74.91.26.218:82/live/nowxy.m3u8
66.65ms,卓依婷浪人情歌,http://vd3.bdstatic.com/mda-jetdgjum2nxdvtmu/mda-jetdgjum2nxdvtmu.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
66.68ms,AMC (720p),http://23.239.31.26:8989/amc/index.m3u8
66.71ms,EuroNews Spanish,https://t.freetv.fun/live/now-news-spanish.m3u8
66.75ms,江西衛視,https://t.freetv.fun/live/jiang-xi-wei-shi-mi-gu.m3u8
66.78ms,卓依婷-心挂意无处用,http://vd3.bdstatic.com/mda-jfkgx7x5gki9xpgs/mda-jfkgx7x5gki9xpgs.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
66.80ms,Le vite degli altri – Pluto TV,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/653660b4295b840008a70ba3/master.m3u8?deviceId=channel&deviceModel=web&deviceVersion=1.0&appVersion=1.0&deviceType=rokuChannel&deviceMake=rokuChannel&deviceDNT=1&advertisingId=channel&embedPartner=rokuChannel&appName=rokuchannel&is_lat=1&bmodel=bm1&content=channel&platform=web&tags=ROKU_CONTENT_TAGS&coppa=false&content_type=livefeed&rdid=channel&genre=ROKU_ADS_CONTENT_GENRE&content_rating=ROKU_ADS_CONTENT_RATING&studio_id=viacom&channel_id=channel
66.80ms,NOW爆谷,http://74.91.26.218:82/live/nowbg.m3u8
66.82ms,CCTV1,http://69.30.245.50/live/cctv1.m3u8
66.82ms,卓依婷-大家一起来DJ,http://vd3.bdstatic.com/mda-jf1jfkgj3qte7h96/mda-jf1jfkgj3qte7h96.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
66.82ms,DC Council Channel (1080p),https://video.oct.dc.gov/out/u/15_12.m3u8
66.84ms,卓依婷-采红菱,http://vd3.bdstatic.com/mda-jfdvpsg280t986rz/mda-jfdvpsg280t986rz.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
66.86ms,三沙衛視,https://t.freetv.fun/live/san-sha-wei-shi-4.m3u8
66.86ms,National Geographic Wild HD East (720p),http://198.58.104.90:8989/natgeowild/index.m3u8
66.88ms,廣東珠江HD,https://t.freetv.fun/live/yan-dong-zhu-jiang-22.m3u8
66.89ms,潮州綜合,https://t.freetv.fun/live/chao-zhou-zong-he-gao-qing-4.m3u8
66.90ms,陈小云爱人跟人走,http://vd4.bdstatic.com/mda-jgvqig36bu4rc0ej/sc/mda-jgvqig36bu4rc0ej.mp4
66.91ms,海峡卫视,https://t.freetv.fun/live/hai-xia-wei-shi.m3u8
66.92ms,AXS TV (720p),http://23.239.31.26:8989/axstv/index.m3u8
66.94ms,大家一起来,http://vd4.bdstatic.com/mda-madrvwbtks7xk4t4/v1-cae/mda-madrvwbtks7xk4t4.mp4
66.94ms,卓依婷男性的本领,http://vd3.bdstatic.com/mda-jesk2p0h96hjvbsd/mda-jesk2p0h96hjvbsd.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
67.01ms,卓依婷-爱拼才会赢,http://vd3.bdstatic.com/mda-jfreugw1pcza8xr1/mda-jfreugw1pcza8xr1.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
67.01ms,陈百潭初恋[848*480],http://vd4.bdstatic.com/mda-jk22i7yt5vyjbgwt//mda-jk22i7yt5vyjbgwt.mp4
67.02ms,做你的爱人,http://vd4.bdstatic.com/mda-kmqgyhj16m8qgziu/mda-kmqgyhj16m8qgziu.mp4
67.03ms,纪录|NatGeo Wild,http://free.cnlive.club/channel/n6582cfc7/index.m3u8?q=1752629214236
67.05ms,Zee Bangla,https://t.freetv.fun/live/dd-bangla.m3u8
67.07ms,Scripps News,https://content.uplynk.com/channel/4bb4901b934c4e029fd4c1abfc766c37.m3u8
67.09ms,爱情公寓,https://live.iill.top/huya/11336726
67.18ms,National Geographic HD East (720p),http://198.58.104.90:8989/natgeo/index.m3u8
67.19ms,CCTV7,https://t.freetv.fun/live/cctv-7.m3u8
67.24ms,江西衛視,https://t.freetv.fun/live/jiang-xi-wei-shi-18.m3u8
67.25ms,蔡丽津月圆情,http://vd3.bdstatic.com/mda-jm53zq7k0b0kbxch/sc/mda-jm53zq7k0b0kbxch.mp4
67.27ms,王彩华-爱情的骗子我问你,http://vd4.bdstatic.com/mda-jm4h7v1isxwc660u/sc/mda-jm4h7v1isxwc660u.mp4
67.27ms,卓依婷-歹路不通行,http://vd3.bdstatic.com/mda-imigfktdeeseud4j/mda-imigfktdeeseud4j.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
67.30ms,CCTV14,https://t.freetv.fun/live/cctv14-18.m3u8
67.34ms,电影_贺岁,https://live.iill.top/huya/11601971
67.34ms,凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
67.35ms,中视经典,https://tv.iill.top/litv/4gtv-4gtv080
67.36ms,卓依婷-橄榄树,http://vd3.bdstatic.com/mda-jfagwdhxb30ymr13/mda-jfagwdhxb30ymr13.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
67.37ms,汕頭綜合,https://t.freetv.fun/live/shan-tou-zong-he-gao-qing-14.m3u8
67.38ms,揭陽新聞綜合,https://t.freetv.fun/live/jie-yang-zong-he-gao-qing-8.m3u8
67.42ms,江蘇衛視,https://t.freetv.fun/live/jiang-su-wei-shi-6.m3u8
67.45ms,CCTV5,http://74.91.26.218:82/live/cctv5hd.m3u8
67.45ms,Day by Day,http://vd4.bdstatic.com/mda-ma39e363u5ebd33e/v1-cae/mda-ma39e363u5ebd33e.mp4
67.50ms,摩登兄弟-探清水河,http://vd2.bdstatic.com/mda-jg6dffnbt92877h0/sc/mda-jg6dffnbt92877h0.mp4
67.50ms,東方衛視,https://t.freetv.fun/live/dong-fang-wei-shi-15.m3u8
67.54ms,HOY TV (源2),http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
67.56ms,寧夏衛視,https://t.freetv.fun/live/zhu-xia-wei-shi-5.m3u8
67.57ms,CCTV3,https://t.freetv.fun/live/cctv3zong-yi.m3u8
67.58ms,廣東衛視,https://t.freetv.fun/live/yan-dong-wei-shi-8.m3u8
67.58ms,揭陽新聞綜合,https://t.freetv.fun/live/jie-yang-zong-he-gao-qing-3.m3u8
67.62ms,山西衛視,https://t.freetv.fun/live/shan-xi-wei-shi-13.m3u8
67.62ms,Life! Christian Broadcasting Network (360p),https://2-fss-2.streamhoster.com/pl_138/200226-1359204-1/playlist.m3u8
67.65ms,陈淑苹-黄昏之恋,http://vd4.bdstatic.com/mda-jk0m1rgje4eh01cw/hd/mda-jk0m1rgje4eh01cw.mp4
67.66ms,卓依婷-萍聚,http://vd3.bdstatic.com/mda-jenmbx88uk365k40/mda-jenmbx88uk365k40.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
67.67ms,廣西衛視,https://t.freetv.fun/live/yan-xi-wei-shi-11.m3u8
67.76ms,CGTN Pусский,https://t.freetv.fun/live/cgtn-russkii-1.m3u8
67.79ms,经典Dj嗨歌04,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8c644c7bc5a044f03700199467f364e_258.mp4
67.81ms,醉千年李袁杰,http://vd3.bdstatic.com/mda-ihai9qt3yny3sx53/hd/mda-ihai9qt3yny3sx53.mp4?pd=19&vt=1
67.83ms,Crímenes imperfectos,https://jmp2.uk/plu-5e94cd036cc69d0007e8a1ba.m3u8
67.85ms,CCTV5+,http://74.91.26.218:82/live/cctv5p.m3u8
67.85ms,卓依婷-无聊的爱情,http://vd3.bdstatic.com/mda-jfkhu7bksxcqjq2z/mda-jfkhu7bksxcqjq2z.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
67.88ms,卓依婷-谢谢你的爱,http://vd3.bdstatic.com/mda-jf2fuh2yhd0txff0/mda-jf2fuh2yhd0txff0.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
67.90ms,江蘇衛視,https://t.freetv.fun/live/jiang-su-wei-shi-18.m3u8
67.91ms,山東衛視,https://t.freetv.fun/live/shan-dong-wei-shi-14.m3u8
67.93ms,卓依婷-杜十娘,http://vd3.bdstatic.com/mda-jekst5s3c341xwyd/mda-jekst5s3c341xwyd.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
67.95ms,卓依婷-雨过天晴,http://vd3.bdstatic.com/mda-jfbggf264f55hv4m/mda-jfbggf264f55hv4m.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
67.95ms,廣西綜藝,https://t.freetv.fun/live/yan-xi-zong-yi-lu-you.m3u8
67.96ms,卓依婷-看不见温柔,http://vd3.bdstatic.com/mda-jeqg6s6gc0ietmst/mda-jeqg6s6gc0ietmst.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
67.96ms,卓依婷-同一首歌,http://vd3.bdstatic.com/mda-jf1j2af0dji6ju83/mda-jf1j2af0dji6ju83.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
67.97ms,卓依婷-无情的班机,http://vd3.bdstatic.com/mda-jeqjsqimdzvytgvv/mda-jeqjsqimdzvytgvv.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
67.98ms,DW News,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/stream05/streamPlaylist.m3u8
67.99ms,CCTV4,https://t.freetv.fun/live/cctv4.m3u8
68.03ms,God's Learning Channel (480p),https://2-fss-1.streamhoster.com/pl_122/200562-1176456-1/playlist.m3u8
68.04ms,无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
68.06ms,陈明真-情债,http://vodcdn.video.taobao.com/oss/ali-video/99c8f1df6d5686d99e4adc1e6caed7b7/video.m3u8
68.07ms,Trace Urban,https://t.freetv.fun/live/trace-urban-australia-1080p.m3u8
68.10ms,卓依婷-山不转水转,http://vd3.bdstatic.com/mda-jb7pfvgc6wuivhqi/mda-jb7pfvgc6wuivhqi.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
68.15ms,儿童|Baby TV Eng,http://free.cnlive.club/channel/n59903092/index.m3u8?q=1752629214236
68.20ms,東方衛視,https://t.freetv.fun/live/dong-fang-wei-shi-17.m3u8
68.20ms,The Walking Dead Universe (720p),https://jmp2.uk/plu-62fa8176b9884200074ef5ae.m3u8
68.21ms,张秀卿车站,http://vd2.bdstatic.com/mda-jjmnjgiabtvmy13u/sc/mda-jjmnjgiabtvmy13u.mp4
68.22ms,卓依婷-无言的结局,http://vd3.bdstatic.com/mda-jenpdiydc7kez9ze/mda-jenpdiydc7kez9ze.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
68.23ms,罗时丰-爱那么痛,http://vd2.bdstatic.com/mda-jcrjbhmgprhs00c4/sc/mda-jcrjbhmgprhs00c4.mp4
68.26ms,罗时丰擦掉彼句我爱你[768*432],http://vd1.bdstatic.com/mda-hj3j9zhu12h99a79/vs-f5f50550f0b93f5020da43ab88266eda-watermark//mda-hj3j9zhu12h99a79.mp4
68.26ms,甘肅衛視,https://t.freetv.fun/live/gan-su-wei-shi-2.m3u8
68.27ms,動漫秀場,https://t.freetv.fun/live/dong-man-xiu-chang-2.m3u8
68.29ms,陈百潭-初恋,http://vd4.bdstatic.com/mda-jk22i7yt5vyjbgwt/hd/mda-jk22i7yt5vyjbgwt.mp4
68.35ms,CinePride (720p),https://stream-us-east-1.getpublica.com/playlist.m3u8?network_id=2223
68.36ms,新疆衛視,https://t.freetv.fun/live/xin-jiang-wei-shi-14.m3u8
68.37ms,TVB娱乐新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
68.38ms,安徽衛視,https://t.freetv.fun/live/an-hui-wei-shi-19.m3u8
68.43ms,卓依婷-免失志,http://vd3.bdstatic.com/mda-jdngvdh4ru0irwma/mda-jdngvdh4ru0irwma.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
68.43ms,安徽衛視,https://t.freetv.fun/live/an-hui-wei-shi-3.m3u8
68.51ms,寧夏衛視,https://t.freetv.fun/live/zhu-xia-wei-shi-9.m3u8
68.51ms,Classic TV Comedy,https://jmp2.uk/plu-5f15e32b297f96000768f928.m3u8
68.54ms,罗时丰-爱情的路,http://vd4.bdstatic.com/mda-jcrjcp1wy5q2i00n/sc/mda-jcrjcp1wy5q2i00n.mp4
68.61ms,Hlektra,https://live20.bozztv.com/giatv/giatv-hlektratv/hlektratv/playlist.m3u8
68.61ms,眉山綜合,https://t.freetv.fun/live/mei-shan-dan-leng-zong-he.m3u8
68.62ms,Euronews Ⓨ,https://www.youtube.com/euronews/live
68.65ms,儿童|MiaoMi,http://free.cnlive.club/channel/n70dedb3e/index.m3u8?q=1752629214236
68.72ms,東方衛視,https://t.freetv.fun/live/dong-fang-wei-shi-11.m3u8
68.73ms,原版大鱼海棠,http://vd3.bdstatic.com/mda-jm9x2pw13gpb4d82/sc/mda-jm9x2pw13gpb4d82.mp4
68.77ms,Nosey (1080p),https://nosey-intl-1-samsungau.amagi.tv/playlist.m3u8
68.80ms,江蕙-梦中的情话,http://vd2.bdstatic.com/mda-ji4rwrwg7fijyqkh/mda-ji4rwrwg7fijyqkh.mp4
68.81ms,LiveABC互动英语频道,http://4gtv.cnlive.club/channel/2a571abf/index.m3u8?q=1782639885837
68.82ms,寧夏衛視,https://t.freetv.fun/live/zhu-xia-wei-shi-15.m3u8
68.87ms,CCTV6,https://t.freetv.fun/live/cctv6dian-ying-4.m3u8
68.91ms,陈柯宇-生僻字,http://vd2.bdstatic.com/mda-jb28qp6tauzkzpy9/hd/mda-jb28qp6tauzkzpy9.mp4
68.96ms,凤凰卫视美洲,https://ed6e-f4b7-af48-6d55.kylintv.tv/live/pxnaus_iphone.m3u8
69.16ms,卓依婷-捉泥鳅,http://vd3.bdstatic.com/mda-jf6k8v71hrs8s441/mda-jf6k8v71hrs8s441.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
69.24ms,深圳衛視,https://t.freetv.fun/live/shen-zhen-wei-shi-11.m3u8
69.30ms,江西衛視,https://t.freetv.fun/live/jiang-xi-wei-shi-22.m3u8
69.32ms,France 24 Ⓨ,https://www.youtube.com/c/FRANCE24/live
69.44ms,卓依婷-梦醒十分,http://vd3.bdstatic.com/mda-jennyc5ci1ugrxzi/mda-jennyc5ci1ugrxzi.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
69.50ms,Teenage Mutant Ninja Turtles – Pluto TV,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/62619405c733e8000732d1fe/master.m3u8?deviceId=channel&deviceModel=web&deviceVersion=1.0&appVersion=1.0&deviceType=rokuChannel&deviceMake=rokuChannel&deviceDNT=1&advertisingId=channel&embedPartner=rokuChannel&appName=rokuchannel&is_lat=1&bmodel=bm1&content=channel&platform=web&tags=ROKU_CONTENT_TAGS&coppa=false&content_type=livefeed&rdid=channel&genre=ROKU_ADS_CONTENT_GENRE&content_rating=ROKU_ADS_CONTENT_RATING&studio_id=viacom&channel_id=channel
69.52ms,Radio Tele Sentinel,https://59d39900ebfb8.streamlock.net/radiotelesentinel/radiotelesentinel/playlist.m3u8
69.57ms,Arena Sport 2 Hrvatska,https://t.freetv.fun/live/arena.m3u8
69.61ms,甘肅衛視,https://t.freetv.fun/live/gan-su-wei-shi-17.m3u8
69.70ms,河北衛視,https://t.freetv.fun/live/he-bei-wei-shi-20.m3u8
69.76ms,电视剧•1「解说」,https://live.iill.top/huya/21277391
69.79ms,猪哥亮歌厅秀,http://4gtv.cnlive.club/channel/n4271efdd/index.m3u8?q=1782639885837
69.83ms,KREM-TV CBS 2 (Spokane WA),http://cbsplaylistserver.aws.syncbak.com/mpl/20160401/865666/5743360/media.m3u8?request_token=Z1-ZrI8l37vCBmH6YKlQZNFcvAXYiLJN8c0K9gQTvqeAS2QJAdKCNfJi781AV_GZ0FiNd9AuyH162KN25KKJ1iwvz5KrioIJ6D1yPHrvpZ68JmiHTY6U93wIgD_NiMxFXxR_tw_MCi_hka74r9ng6aLxngs2p8TTSlCW71SMmjHsk4wN7kcHLDtoRtcivA&CMCD=mtp%3D111600%2Cot%3Dm%2Csf%3Dh%2Csid%3D%22ac2d9503-527a-4258-a660-a8841776bd7c%22
69.86ms,Channel 18 GAC,https://reflect-channel18vod-springfield-il-us.cablecast.tv/live-13/live/stream-1/live.m3u8
69.87ms,Bloomberg TV US Live Event (720p),https://bloomberg.com/media-manifest/streams/us-event.m3u8
69.88ms,廣西衛視,https://t.freetv.fun/live/yan-xi-wei-shi-4.m3u8
69.97ms,海峡卫视,https://ed6e-f4b7-af48-6d55.kylintv.tv/live/fjstv_iphone.m3u8
70.04ms,Miracle TV,https://t.freetv.fun/live/miracle-tv-1.m3u8
70.04ms,TV8,https://t.freetv.fun/live/tv8.m3u8
70.04ms,Entertainment Tonight (1080p),https://enterbcef94b.airspace-cdn.cbsivideo.com/master.m3u8
70.09ms,卓依婷-莫辜负好时光,http://vd3.bdstatic.com/mda-jfkkh6m5u47trvqc/mda-jfkkh6m5u47trvqc.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
70.09ms,Blue Bloods,https://jmp2.uk/plu-61b3b8c645b45d0007a9bb8d.m3u8
70.13ms,罗时丰一定要成功,http://vd1.bdstatic.com/mda-hgmk00ncqxvvix0v/mda-hgmk00ncqxvvix0v.mp4
70.23ms,ABC News Live 1 (720p),https://abcnews-streams.akamaized.net/hls/live/2023560/abcnewshudson1/master.m3u8
70.27ms,凤凰卫视台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
70.30ms,2018年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/06/16/BMjAyMzAxMDYxNjMxMTRfNDAzMDAxOTlfOTI4OTY2ODE2MTBfMF8z_b_B11a778e34390a21de42d407e94f45b91.mp4
70.35ms,TVB J1 (源1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
70.36ms,凤凰资讯,http://r.jdshipin.com/0Rp07
70.38ms,罗时丰-心事,http://vd2.bdstatic.com/mda-jaadiz1rwrtrj7kw/sc/mda-jaadiz1rwrtrj7kw.mp4
70.42ms,罗时丰-无情之梦,http://vd2.bdstatic.com/mda-je1jq1hvgmab08gd/sc/mda-je1jq1hvgmab08gd.mp4
70.46ms,儿童|东森幼幼,http://free.cnlive.club/channel/798aeeee/index.m3u8?q=1752629214236
70.46ms,宿遷綜合,https://t.freetv.fun/live/su-qian-xin-wen-zong-he-1.m3u8
70.48ms,重慶衛視,https://t.freetv.fun/live/zhong-qing-wei-shi-16.m3u8
70.55ms,Sundom TV Ⓨ,https://www.youtube.com/@SundomTV/live
70.55ms,CCTV17,https://t.freetv.fun/live/cctv17-13.m3u8
70.60ms,浙江衛視,https://t.freetv.fun/live/zhe-jiang-wei-shi-7.m3u8
70.66ms,AAJ TAK India,https://t.freetv.fun/live/aaj-tak-1.m3u8
70.67ms,华视,https://ed6e-f4b7-af48-6d55.kylintv.tv/live/ctshd_iphone.m3u8
70.70ms,山東衛視,https://t.freetv.fun/live/shan-dong-wei-shi-5.m3u8
70.78ms,CBS News Pittsburgh (720p),https://cbsn-pit.cbsnstream.cbsnews.com/out/v1/6966dabf8150405ab26f854e3cd6a2b8/master.m3u8
70.80ms,KNR1 Ⓨ Ⓖ,https://www.youtube.com/@KNRgreenland/live
70.86ms,凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
70.94ms,新加CH5频高,https://cdn6.163189.xyz/live/ch5/stream.m3u8
70.94ms,The Amazing Race,https://jmp2.uk/plu-5f21e8a6e2f12b000755afdb.m3u8
70.99ms,安徽衛視,https://t.freetv.fun/live/an-hui-wei-shi-24.m3u8
71.00ms,「B站」王者荣耀_𝟚,http://live.iill.top/bilibili.php?id=21654762
71.04ms,卓依婷-鲁冰花,http://vd3.bdstatic.com/mda-jf8fbjprnf1fvpxm/mda-jf8fbjprnf1fvpxm.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
71.06ms,汕尾綜合,https://t.freetv.fun/live/shan-wei-zong-he-gao-qing-6.m3u8
71.08ms,翡翠台,http://r.jdshipin.com/n90gt
71.09ms,开场低音串烧,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8c02519bc71ce4f037001992e93a479_258.mp4
71.10ms,重慶衛視,https://t.freetv.fun/live/zhong-qing-wei-shi-9.m3u8
71.12ms,KNR2 Ⓨ,https://www.youtube.com/@nutaarsiassat/live
71.13ms,CGTN法语,https://0472.org/hls/cgtnf.m3u8
71.17ms,M6 (FR),https://t.freetv.fun/live/m6.m3u8
71.23ms,南寧新聞綜合,https://t.freetv.fun/live/nan-tong-xin-wen-zong-he-2.m3u8
71.23ms,廣東體育HD,https://t.freetv.fun/live/yan-dong-ti-yu-13.m3u8
71.24ms,东森新闻,http://4gtv.cnlive.club/channel/n5ca63a3a/index.m3u8?q=1782639885837
